"filename", "language", "PHP", "JavaScript", "Markdown", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\package-lock.json", "JSON", 0, 0, 0, 0, 2465, 0, 0, 1, 2466
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\package.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\phpunit.xml", "XML", 0, 0, 0, 0, 0, 34, 0, 1, 35
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\public\index.php", "PHP", 10, 0, 0, 0, 0, 0, 4, 7, 21
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\css\app.css", "PostCSS", 0, 0, 0, 210, 0, 0, 9, 37, 256
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\css\pacientes.css", "PostCSS", 0, 0, 0, 113, 0, 0, 6, 24, 143
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\css\usuarios.css", "PostCSS", 0, 0, 0, 49, 0, 0, 9, 11, 69
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\js\app.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\js\bootstrap.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\js\molecula_calorica.js", "JavaScript", 0, 120, 0, 0, 0, 0, 13, 26, 159
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\js\pacientes.js", "JavaScript", 0, 86, 0, 0, 0, 0, 14, 17, 117
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\auth\login.blade.php", "PHP", 91, 0, 0, 0, 0, 0, 0, 6, 97
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\layouts\app.blade.php", "PHP", 100, 0, 0, 0, 0, 0, 0, 24, 124
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\layouts\barra-lateral.blade.php", "PHP", 133, 0, 0, 0, 0, 0, 1, 31, 165
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\medidas\calculos.blade.php", "PHP", 335, 0, 0, 0, 0, 0, 0, 11, 346
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\medidas\create.blade.php", "PHP", 155, 0, 0, 0, 0, 0, 3, 17, 175
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\medidas\edit.blade.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\medidas\index.blade.php", "PHP", 97, 0, 0, 0, 0, 0, 0, 5, 102
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\medidas\show.blade.php", "PHP", 269, 0, 0, 0, 0, 0, 7, 37, 313
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\molecula_calorica\create.blade.php", "PHP", 528, 0, 0, 0, 0, 0, 25, 56, 609
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\molecula_calorica\edit.blade.php", "PHP", 268, 0, 0, 0, 0, 0, 25, 49, 342
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\molecula_calorica\index.blade.php", "PHP", 221, 0, 0, 0, 0, 0, 0, 7, 228
